electeur	auteur	vote	version
claudeloverdo	danielbourrion	0	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
davidbenoist	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
louisgesbert	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
bookynette	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
mathurindorel	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
ceciletannier	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
romainh	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
gesbert	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
fannydespouys	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
thomasfourmeux	danielbourrion	1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
alexandrequemy	danielbourrion	-1	ne-pas-oublier-les-sets-de-donnees-lies-a-un-article
colettecadiou	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
benoitrkloeckner	olivierjacquot	-1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
helenebourguignon	olivierjacquot	-1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
odilecontat	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
samsond	olivierjacquot	-1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
alexandredaspremont1	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
alainguenoche	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
geraldineniateldacos	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
jeannevarasco	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
jeanmarcfrigerio	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
jeanluclebrun	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
wolframkorten	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
federationnationaledelapressedinformationspecialisee	olivierjacquot	-1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
denieul	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
cypriengay	olivierjacquot	-1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
marlenedelhaye	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
merlet	olivierjacquot	-1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
thomasnesme	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
lenoirsarah	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
chekib1	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
francoisbriat	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
vincentreverdy	olivierjacquot	0	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
pierre1	olivierjacquot	1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
fontaine	olivierjacquot	-1	aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum
frederiquelangue	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
