auteur	electeur	version
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	fredericblin
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	jeanmallet
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	gabrielscherer
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	fredericdanielluclehobey
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	treyssedefabien
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	philippedeso
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	dominiquelhostis
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	dejoienathalie
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	celialentretien
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	francoisjannin
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	alicemnm
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	thomasrichard
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	nolwennmaudet
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	mariacandea
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	emmanuelhadoux
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	alexandremarchal
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	baralemartine
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	andrepeninou
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	nieddu
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	sylviedeville
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	benjaminwerner
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	sh
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	valerielarroque
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	claudeloverdo
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	fabienlabarthe
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	francoisemartinelli
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	geraldinebarron
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	juliedacos
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	bidalmichele
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	manikbhattacharjee
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	franckboyer
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	riondetfrederic
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	danielruiz
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	letrouitcarole
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	benjaminguichard
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	myriamevennou
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	lapaly
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	sonneville
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	jeromepoumeyrol
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	stornecatherine
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	universitejeanmoulinlyon3
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	charlesboisvert
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	davidbenoist
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	melanieduclos
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	louisgesbert
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	mariehelenedacos
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	martincronel
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	isabelleferrane
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	oliviergladin
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	catherineroussy
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	anthonymasure
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	derory
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	olivierpantale
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	rovezzi
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	vincentpinon
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	guillaumeclaus
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	nicolastocquer
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	romainboistel
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	thierychanier
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	rmathis
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	chevillottesylvie
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	hattmathieu
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	fannylambert
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	martinflorent
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	nalinianantharaman
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	monteil
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	dambif
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	fmm
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	valadeaude1
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	epristassociationdesresponsablesistdesorganismesderecherchefrancais
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	franckinfodocbib1
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	remiwatrigant
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	fredericneau
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	juliebeugin
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	bernardfallery
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	consortiumcouperin
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	gerbaud
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	patricetorguet
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	mignotdominique
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	karljoulain
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	dechycabaret
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	pierrejeannacher
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	elisegirold
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	pascaleroth
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	iordaniskerenidis
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	flyinva
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	laurentcosty
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	fanistsandilas
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	nicolashug
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	cecilegobbo
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	consortiumcouperin	romainh
